,D28-CTL_values,D28-CTL_std,D14-JFD-CCl4_values,D14-JFD-CCl4_std,D28-JFD-CCl4_values,D28-JFD-CCl4_std,D28-CCl4_values,D28-CCl4_std,D1-CCl4_values,D1-CCl4_std,D14-CCl4_values,D14-CCl4_std,D1-JFD-CCl4_values,D1-JFD-CCl4_std,D14-JFH-CCl4_values,D14-JFH-CCl4_std,D1-JFH-CCl4_values,D1-JFH-CCl4_std,D1-CTL_values,D1-CTL_std,D28-JFH-CCl4_values,D28-JFH-CCl4_std,D14-CTL_values,D14-CTL_std
355746,165.8,91.31352583270454,177.4,89.4887702452101,776.4,740.1417702035197,633.6,187.85696686575136,39.6,23.795797948377356,13.6,10.744300814850634,14.4,10.781465577554844,534.8,308.2118751768011,13.2,10.943491216243562,56.2,21.311030007955974,649.4,131.60334342257417,33.0,12.409673645990857
172464,14.4,20.87678136111982,40.8,67.75662329248705,7.8,8.009993757800315,5.0,5.215361924162119,53.0,67.13270439956966,5.6,6.529931086925803,7.0,8.831760866327848,8.0,12.633289357883005,22.6,14.582180906846547,24.6,23.000869548780106,2.8,1.9390719429665317,7.2,2.7129319932501077
273091,0.6,0.48989794855663565,1.0,1.5491933384829668,0.8,0.7483314773547883,0.2,0.4000000000000001,2.6,4.223742416388575,0.4,0.48989794855663565,1.0,1.0954451150103321,1.0,1.2649110640673518,2.2,1.9390719429665317,2.0,3.521363372331802,0.0,0.0,7.4,8.546344247688598
2435303,101.4,67.52362549508135,199.0,116.98375955661538,98.8,68.55771291401136,122.6,82.39563095213241,24.8,12.921300244170475,139.0,86.44998554077381,2.6,2.4166091947189146,271.8,140.82528182112756,18.6,15.041276541570532,144.4,143.4595413348307,118.0,59.91660871578097,395.8,289.9554448531705
356627,190.4,234.6065642730399,26.8,41.058007745140294,44.4,33.41017808991745,104.8,120.74833332183098,361.6,130.11164436744315,7.2,4.664761515876241,99.2,181.96746962025932,67.2,80.54166623555786,115.0,117.42401798610027,3.4,3.555277766926235,50.8,56.21174254548598,47.0,78.11785967370074
214835,1.8,2.227105745132009,6.4,11.80847153530041,1.4,1.3564659966250536,0.0,0.0,2.2,1.32664991614216,0.4,0.48989794855663565,0.8,0.7483314773547883,2.8,2.9257477676655586,0.2,0.4,0.8,1.1661903789690602,0.4,0.48989794855663565,0.2,0.4000000000000001
4440970,4.6,2.727636339397171,0.4,0.8,1.2,1.1661903789690602,2.6,2.0591260281974,12.0,6.0332412515993425,0.4,0.48989794855663565,0.2,0.4000000000000001,0.2,0.4,4.0,4.381780460041329,11.2,15.535765188750764,1.6,1.3564659966250536,0.4,0.8
191753,0.0,0.0,0.8,0.7483314773547883,0.2,0.4,1.0,1.2649110640673518,1.6,1.624807680927192,0.2,0.4,3.8,3.249615361854384,2.4,3.1999999999999997,0.0,0.0,6.4,6.7111846942250075,0.4,0.8000000000000002,0.2,0.4
337724,26.8,33.23492139301671,57.2,55.983569018061004,40.6,29.722718583602003,148.0,115.55258543191493,13.6,7.657675887630659,4.8,4.261455150532504,3.6,4.127953488110059,107.6,80.08145852817617,2.2,3.919183588453085,11.2,12.367699866992245,63.8,38.206805676476016,164.0,189.1211252081586
167204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
